PIMS ID,Product,Suppliers
IL119,Fecal solution,"Butler Schein, Medcare Products, MWI Veterinary Supply, Patterson Vet Webster"
IFVL,Feline Purevax FeLV,"Boehringer Ingelheim, Butler Schein, Fort Dodge, Merial, Patterson Veterinary Supply"
IFVR,Feline Purevax FVRCP,"Boehringer Ingelheim, Butler Schein, MWI Veterinary Supply, Merial, Patterson Veterinary Supply"
FPR1Y0.5,Feline Purevax Rabies 1 Year 0.5ml Dose,Boehringer Ingelheim
FRBSML,"Feline Restraint Bag Set (S,M,L)",MWI Veterinary Supply
FELDR30,Feliway Diffuser Refill 30 Day,"MWI Veterinary Supply, Patterson Veterinary Supply"
IFELR,Feliway Multi Cat Refill 30 Day,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
FELMSK,Feliway Multi Cat Starter Kit,"MWI Veterinary Supply, Patterson Veterinary Supply"
IFELS20,Feliway Spray 20ml,MWI Veterinary Supply
FELIW219,Feliway Spray 219 ml,MWI Veterinary Supply
IFELS,Feliway Spray 60ml,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IFELW,Feliway Wipe Single,MWI Veterinary Supply
I663,Fentanyl 50mcg/mL INJ,"Butler Schein, MWI Veterinary Supply"
IFILE,File Folders 1/3 Tab,Office Product Solutions
IFCT12,Flow Control Tube/10ml in 12hrs,"Mila International, Patterson Vet Webster, Patterson Veterinary Supply"
