PIMS ID,Product,Suppliers
IS288,"Vetrap 4""","Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
VSF4RT,Vetscan Canine Flex 4 Rapid Test,"Patterson Veterinary Supply, Zoetis/Pfizer Inc"
I7303,VetScan Comprehensive Diagnostic Profile,"MWI Veterinary Supply, Patterson Veterinary Supply, Zoetis/Pfizer Inc"
I8796,VetScan Electrolyte Plus,Patterson Veterinary Supply
VETHEMEC,VetScan Hematology Enzymatic Cleaner,"Abaxis, MWI Veterinary Supply, Patterson Veterinary Supply, Zoetis/Pfizer Inc"
I7289,VetScan Kidney Profile Plus,"Patterson Veterinary Supply, Zoetis/Pfizer Inc"
VMLP,Vetscan Mammalian Liver Profile,"Patterson Veterinary Supply, Zoetis/Pfizer Inc"
I7298,VetScan Prep Profile II,"Patterson Veterinary Supply, Zoetis/Pfizer Inc"
VSTC,Vetscan T4/Cholesterol,"Patterson Veterinary Supply, Zoetis/Pfizer Inc"
VSPTPTT,VetScan VSPro PT/APTT Combo Test,"MWI Veterinary Supply, Patterson Veterinary Supply"
IVFS,Vetspon Flex Sheets,"MWI Veterinary Supply, Patterson Veterinary Supply"
VETS250,Vetstarch 250ml INJ,MWI Veterinary Supply
ISPO2,Vetstat SPO2 sensor,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IVB1,Vinblastine 1mg/ml INJ,"MWI Veterinary Supply, Taylors Pharmacy"
NONBILL-IVB1,Vinblastine 1mg/ml INJ,"MWI Veterinary Supply, Taylors Pharmacy"
NONBILL-IVIN,Vincristine 1mg/ml INJ,"Butler Schein, MWI Veterinary Supply"
IVIN,Vincristine 1mg/ml INJ,"Butler Schein, MWI Veterinary Supply"
NONBILL-VIN10,Vinorelbine 10mg/ml INJ,Taylors Pharmacy
VIN10,Vinorelbine 10mg/ml INJ,Taylors Pharmacy
IVBI,Vitamin B Complex INJ,"MWI Veterinary Supply, Patterson Vet Webster"
VITAB12,Vitamin B-12 5000mcg/ml,"MWI Veterinary Supply, Patterson Veterinary Supply"
I693,Vitamin B12 1000mcg/ml INJ,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster"
IVCI,Vitamin C INJ (250mg/mL),"MWI Veterinary Supply, Patterson Veterinary Supply"
IVK1,Vitamin K-1 100ml INJ (10mg/mL),"Butler Schein, MWI Veterinary Supply"
VSIFPK,VS Imagyst Fecal Parasite Kit (40 Tests),Zoetis/Pfizer Inc
VSIUS,VS Imagyst Urine Sediment Kit (40 Tests),Zoetis/Pfizer Inc
WALPSOL,Walpole's Solution INJ,MWI Veterinary Supply
WABLARGE,"Warming Air Blanket, Large, 24x48",MWI Veterinary Supply
WABM3624,"Warming Air Blanket, Medium, 36x24",Patterson Veterinary Supply
WABSMALL,"Warming Air Blanket, Small, 20x30",MWI Veterinary Supply
WASHPLUS,Wash Plus Liquid Laundry Detergent,Bayse Janitor Supply
WMS0,"WebMax Suture (O-30"")",Patterson Veterinary Supply
WMS4/0,"Webmax Suture 4/0 30"" (FS-2)",Patterson Veterinary Supply
WM5RB1,"Webmax Suture 5-0 - 30"" (RB-1)",Patterson Veterinary Supply
WEBM5FS2,Webmax Suture 5-0 (FS-2),Patterson Veterinary Supply
WTH9,Western Timothy Hay 9 LB Bag,Patterson Veterinary Supply
WE1MM,Winged Elevator 1mm Stubby Handle,Patterson Veterinary Supply
IWES,Winged Elevator Set,"MWI Veterinary Supply, Patterson Veterinary Supply"
WITFELFI,Witness FELV/FIV Test,MWI Veterinary Supply
TEA,Women's Tea,Dr Xies Jing Tang
IWL,Woods Light,Patterson Vet Webster
IXRG,X Ray Gloves,MWI Veterinary Supply
IXPP,x Ray Pet Positioner,MWI Veterinary Supply
XRATHYXL,X-Ray Apron w/ Thyroid Collar XL,MWI Veterinary Supply
MUZXL,XL Muzzle Nylon,"MWI Veterinary Supply, Patterson Veterinary Supply"
YES15,Yesterdays News 15lb,"MWI Veterinary Supply, Patterson Veterinary Supply"
IYES30,Yesterdays News Litter 30#,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IZP2,"Zonas Porous Tape 2""","Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IZP1,"Zonas Porrous Tape 1""","Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
NONBILL-ZYCORTAL,Zycortal Suspension 25mg/ml 4ml,"MWI Veterinary Supply, Patterson Veterinary Supply"
ZYCORTAL,Zycortal Suspension 25mg/ml 4ml,"MWI Veterinary Supply, Patterson Veterinary Supply"
HCCRPE,📦Heska cCRP Element i+ (12/Box),
HESKAC,"📦Heska Cortisol, Element i+ (12/Box)",
NUQEI,"📦Heska NuQ , Element i+ (12/Box)",
VITALS43b,A-FAST Scan,
ARBAL,A/R Balance from AVIMARK as of 4/8/26,
UA10,Abaxis Vetscan UA 10 Strip,
UA14,Abaxis Vetscan UA 14 Strip,
VITALS605,Abdominal Fluid Score (AFS) (/4),
ALAV,Abdominal Lavage,
ULT,Abdominal Ultrasound,
ATAPD,Abdominocentesis - Diagnostic,
VITALS416,Abdominocentesis - Left (mLs),
VITALS417,Abdominocentesis - Right (mLs),
600,Abdominocentesis - Therapeutic,
ABCDEB,Abscess Debridement,
121,Abscess-Clean/Medicate,
500,Abscess-Surgical Treatment,
ACTHMI,ACTH STIM TEST ( Michigan),
AT,Acupuncture,
AAO,Acupuncture - Aquapuncture (add-on),
DNA,Acupuncture - Dry Needle,
AEAA,Acupuncture - Electro (add-on),
EA,Acupuncture - Electroacupuncture,
LAAO,Acupuncture - Laser (add-on),
ATBI,Acupuncture - Titanium Bead Implantation,
LA,Acupuncture and Laser Therapy,
MB,ADD ON Medicated Shampoo,
PR,Add- on Patellar regrooving,
NONBILL-ADEQEQ50,Adequan Equine 50ml Bottle (100mg/mL),
NONBILL131,Adjust Endotracheal Tube / Deflate Cuff,
AFREELIB,Administer Freestyle Libre,
ACTHUT,Adrenal Panel to UT,
AEROD,Aero Dawg,
ALP2REN,AlphaTrak2 Rental Per Week,
NONBILL-AMPSUL,Ampicillin Sulbactam 1.5gm/Vial INJ (37.5mg/mL),
NONBILL-IAMPI,Ampicllin 1gm INJ (100mg/mL),
501,Amputation-Digit,
502,Amputation-Extremity,
503,Amputation-Tail Puppy,
504,Anal Sac Removal / bilateral,
123,Anal sacs - infusion,
506A,Anesthesia - Induction,
Anesindadm,Anesthesia - Induction Admin.,
507,Anesthesia - Intravenous,
505A,Anesthesia - Isoflurane Add'l 15 min.,
505,Anesthesia - Isoflurane Initial 30 min.,
I508,Anesthesia - Local,
I508A,Anesthesia - Local / Intra-op,
506,Anesthesia - Premedication,
161,Anesthesia - Sedation,
IAML,Anesthesia Mask Lg,
VITALS600,Animal Trauma Triage (ATT) Score Total,
AHE,Annual Health Exam w/ Vaccines,
AC100,Antech Accuplex 4 ( HW plus Tick),
220,Antech Aerobic & Anaerobic MIC Culture,
225,Antech Aerobic Bacteria MIC Culture,
AAIRR,Antech AI Rapid Read Consult,
SA170A,Antech Autoimmune Profile- Canine,
T785,Antech Baermann (Fecal Test),
T225,"Antech Bile Acid, Resting",
T220,Antech Bile Acids (Pre and Post),
T520,Antech Bladder Tumor Antigen - Canine,
ANTBROML,Antech Bromide Levels,
S16131,Antech Brucella AGID/ SAT,
ACADBRA,Antech CADET BRAF,
S18537,Antech Calcium & Ionized Calcium,
T110,Antech Calcium Level,
1846,"Antech Calcium, Ionized,  PTH",
ACDEA1.1,Antech Canine Blood Typing DEA 1.1 Only,
CPBNP,Antech Canine Cardio BNP,
85424,Antech Canine Junior with Accuplex,
T978,Antech Canine Lepto PCR Blood/Urine,
T995,Antech Canine PCR Respiratory Panel,
T960,Antech Canine PCR Tick Borne Panel,
T475,Antech Canine Progesterone Levels,
T830C,Antech Canine Urine Microalbumin Reflex,
T330,Antech CBC,
REVW,Antech CBC w/ Path Review,
SA090,"Antech CBC, CHEM25, T4, freeT4",
9523,"Antech CBC, CHEM25, T4, UA",
T127,Antech Cholesterol/Triglycerides only,
S16195,Antech Cobalamin B-12 & Folate Levels,
T840,Antech Cobalamin B12,
ACVIGMGG,Antech Corona Virus IgG and IgM,
AST,Antech Cortisol Pre&Post ( ACTH Stim ),
224,"Antech Cortisol, Resting ( 1 sample )",
T790,Antech Cryptosporidium & Giardia Fecal,
CYT,Antech Cytology,
DERM,Antech Dermatopathology,
ADERMC,Antech Dermatopathology Consult,
T450,Antech Dexamethasone Suppression Test,
ECASPO,Antech Extended C & S (Per Organism),
T965,Antech Fastpanel PCR Fel Flea/Tick,
T805,Antech Fecal (Ova / Parasites ),
T808,Antech Fecal & Giardia ELISA,
SA622,"Antech Feline CBC, CHEM11, FELV, FIV",
9979,Antech Feline Comp Well Screen,
T630,Antech Feline Heartworm Antig. + Antib.,
T985,Antech Feline Hemoplasma PCR Panel,
T620,Antech Feline HW Antigen,
S86965,Antech Feline Intestinal Lymphoma Panel,
T993,Antech Feline Resp PCR w/ SARS-COV-2,
AFPCRP,Antech Feline Respiratory PCR Panel,
T830F,Antech Feline Urine Microalbumin Reflex,
IL24,"Antech FIV Ab, FeLV Ag (ELISA)",
S86493,Antech Flow Cytometry Test,
CYTOFLUA,Antech Fluid Analysis with Cytology,
S17029,Antech Food/Enviromental Allergy Screen,
T460,Antech Free T4 (Equilibrium Dialysis),
ADFT4,Antech Free T4 ED Add-on,
ADDFRU,Antech Fructosamine (Add-On),
S16345,Antech Fructosamine Level,
T145,Antech GGT,
T380,Antech Hemotropic Mycoplasma,
HISTO2,Antech Histopath w/ Written Rep. 2 Sites,
HISTO,"Antech Histopathology, Full Written Rprt",
AIRC,Antech Imaging Radiologist Consult,
AUIC,Antech Imaging Ultrasound Consult,
T991,Antech Keyscreen GI Parasite PCR Panel,
S16510,Antech Lepto Titer,
ALC,Antech Liver Chemistry,
S86601,Antech Mast Cell Tumor Prognostic Panel,
T390,Antech Microflaria Knott's Test,
ANNEOC,Antech Neospora Caninum,
ANTPHENA,Antech Phenobarb Levels ( Add-On ),
T750,Antech Phenobarbital Level,
SA050,"Antech Pre-op CBC, CHEM9, PT, PTT, SDMA",
ACPSL,Antech Precision PSL,
T165,Antech PrecisionPSL,
ADD290,Antech PT/PTT ( Add- On),
S1204,Antech Rabies Antibody Titer Non-Export,
SA311,Antech Renal Panel w/ SDMA,
T1035,Antech SDMA,
AC727,Antech Senior Wellness with Titers,
9978,Antech Sr Canine Wellness w/ Accuplex,
510023,Antech Synovial fluid analysis/cytology,
T4,"Antech Thyroid T4 only,  Post Pill",
SA380,"Antech Thyroid T4, FT4, cTSH",
T4PRO5,"Antech Thyroid T4, FT4ED, TSH, Thyroglob",
SA330,Antech Tick Serology,
T205,Antech Triglycerides,
910,Antech Urinalysis,
3004,Antech Urine Delayed,
M130,Antech Urine MIC Culture,
T775,Antech Urine Protein / Creatine Reflex,
S17123,Antech Von Willebrand's Factor,
VITALS23,Appetite - Food / Note,
510,Application-Mason Metasplint,
512,Application-Thomas Splint,
NONBILL179,Apply Pain Patch,
AQS,Apply Quick splint,
ASP,Apply Spoon Splint,
NONBILL026,Apply/Check E-Collar (on at all times),
NONBILL-ARANESP,Aranesp (Darbepoetin) 25 mcg/1ml,
NONBILL200,Arterial Catheter Care,
NONBILL134,Assess and Clean Skin Around Trach Tube,
NONBILL204,Assist Patient to Stand,
AFIP,Auburn - Feline FIP mRNA PCR Test,
NONBILL135,Audit Invoice / Enter Charges,
NONBILL007,Auscult Heart and Lungs,
AXVITALS158,AX - CRI - Buprenorphine (mg/kg/hr),
AXVITALS160,AX - CRI - Butorphanol (mg/kg/hr),
AXVITALS168,AX - CRI - Dexmedetomidine (mcg/kg/hr),
AXVITALS176,AX - CRI - Dobutamine (mcg/kg/min),
AXVITALS178,AX - CRI - Dopamine (mcg/kg/min),
AXVITALS191,AX - CRI - Fentanyl (mg/kg/hr),
AXVITALS375,AX - CRI - Fentanyl/Lidocaine/Ketamine (mg/kg/hr),
AXVITALS193,AX - CRI - Fentanyl/Lidocaine/Ketamine (mL/hr),
AXVITALS376,AX - CRI - Hydromorphone/Lidocaine/Ketamine (mg/kg/hr),
AXVITALS296,AX - CRI - Hydromorphone/Lidocaine/Ketamine (mL/hr),
AXVITALS213,AX - CRI - Lidocaine (mg/kg/hr),
VITALS377,AX - CRI - Morphine/Lidocaine/Ketamine (mg/kg/hr),
AXVITALS244,AX - CRI - Morphine/Lidocaine/Ketamine (mL/hr),
AXVITAL144,AX - IV Fluid Bolus,
AXVITAL145,AX - IV Fluids - 0.45% NaCl,
AXVITAL146,AX - IV Fluids - 0.45% NaCl + 5% Dextrose,
AXVITAL147,AX - IV Fluids - 0.9% NaCl,
AXVITAL148,AX - IV Fluids - D5W,
AXVITAL149,AX - IV Fluids - Hetastarch/Vetstarch,
AXVITAL150,AX - IV Fluids - Hypertonic Saline,
AXVITAL151,AX - IV Fluids - LRS,
AXVITAL152,AX - IV Fluids - Normosol R,
AXVITAL153,AX - IV Fluids - Other,
AXVITAL154,AX - IV Fluids - Plasmalyte,
AXVITAL176,AX - Transfusion - Albumin (Canine),
AXVITAL177,AX - Transfusion - Albumin (Human),
AXVITAL178,AX - Transfusion - Cryoprecipitate,
AXVITAL179,AX - Transfusion - IVIG,
AXVITAL180,AX - Transfusion - Other,
AXVITAL181,AX - Transfusion - Plasma (Cryo-poor),
AXVITAL182,AX - Transfusion - Plasma (FFP),
AXVITAL183,AX - Transfusion - Plasma (FP),
AXVITAL184,AX - Transfusion - pRBC,
AXVITAL185a,AX - Transfusion - Whole Blood (donor blood),
AXVITAL185,AX - Transfusion - Whole Blood (stored blood),
AXVITALS420,AX - Volume Infused,
AXVITALS421,AX - Volume Infused CRI,
AXVITAL006,AX Blood Pressure (Diastolic),
AXVITAL008,AX Blood Pressure (Doppler),
AXVITAL007,AX Blood Pressure (Mean),
AXVITAL005,AX Blood Pressure (Systolic),
AXVITAL001,AX Events,
AXVITAL002,AX Inhalant (%),
AXVITAL004,AX Oxygen Administration L/min,
AXVITAL009,AX Pulse Oximetry (SpO2),
AXVITAL003,AX Wasted Substances,
124,Bandaging,
515,Bandaging-Postoperative,
BAS,Barium Administration,
BSCSUP,Basic Surgery Supplies,
BS,Bath - 0-20#,
BM,Bath - 21-40#,
BL,Bath - 41-60#,
BXL,Bath - 61-98#,
BXXL,Bath - 99-100# +,
BC,Bath - Courtesy,
BF,Bath - Feline,
BWW,Bath - Washy Wednesday,
TEXBA,Bile Acids to Texas A&M,
BIO,Biohazardous Waste Compliance,
UTBIOPSY,Biopsy Submission to UT (3 Samples),
UTBIOPAD,Biopsy Submission to UT (Add. Site),
516,Biopsy-Cutaneous,
517,Biopsy-Liver/Kidney,
518,Biopsy-Lymph Node,
BIPSON,Bipolar - Soniquence,
BLADDCA,Bladder Contrast Administration,
BU,Bladder Urohydropropulsion,
NONBILL008,Blood Draw,
VITALS33,Blood Glucose (BG),
VITALS39,Blood Ketones,
VITALS35,Blood Pressure (diastolic),
VITALS36,Blood Pressure (mean),
VITALS34,Blood Pressure (systolic),
BP,Blood Pressure Check (Record Vital),
366,Blood Tranfusion - Cat & Dog <15lb,
365,Blood Transfusion Dog 15lb & up,
BRDM,Boarding 21-40#,
BRDL,Boarding 41-60#,
BRDXL,Boarding 61#>,
BMADFEE,Boarding Med Administration Fee Per Day,
BRDS,Boarding Small 0-20lbs,
BRDF,Boarding-Feline,
MC,Body Clip - Medically Necessary,
VITALS20,Body Condition Score (/5),
VITALS20a,Body Condition Score (/9),
BMB,Bone Marrow Biopsy,
IS113,Bone pin 1/4,
IS115,Bone pin 1/8,
IS112,Bone pin 5/32,
IS120,Bone pin 7/64,
IS114,Bone pin 9/64,
BONEPLAT,Bone Plating,
VAX002,Bordetella Injectable Vaccine,
VAX003,Bordetella Intranasal Vaccine,
VAX004,Bordetella Oral Vaccine,
VITALS406,Bottle feeding (mL),
BCSECT,Brachycephalic Cesarean Section,
BAL,BronchoAlveolar Lavage,
BRUSH,Brush Out / Sanitary Clip,
BRTEETH,Brush Teeth,
BT,Brush Teeth - Courtesy,
BUFC,Buffy Coat Check for Mast Cells,
319,Buffy Coat Smear Evaluation by Technician,
NONBILL011,Call Owner with Update,
NONBILL178,Call to Check Out Client,
CEPTEXAS,Canine Enteropathogen Panel to Texas,
T950,Canine GI PCR Fast Panel,
VAX005,Canine Influenza Vaccine H3N2,
VAX006,Canine Influenza Vaccine H3N8,
VAX007,Canine Influenza Vaccine H3N8 & H3N2 Bivalent Vaccine,
K9DNA,Canine Wisdom Panel Premium,
VITALS08,Capillary Refill Time (CRT),
CR,Cast Repair,
519,Castration,
519G,Castration - Canine,
520,"Castration K-9, scrotum Removal",
572,Castration- Slal,
521,Castration-Feline,
601,Castration-Foa,
513,Castration-Hslc,
514,Castration-Lcas,
126,Catheterization - Intravenous,
127,Catheterization-Urinary,
NONBILL-ICEFS,Cefazolin Sodium 1gm INJ (100mg/mL),
NONBILL-CEFTINJ1,Ceftazidime Injection 1gm (100mg/mL),
NONBILL-CEFSOD1,Ceftiflex (Ceftiofur Sodium) Powder 1gm (50mg/mL),
CENT6,Centragard 3ct $6 Instant Rebate,
VITALS42,Central Venous Pressure (CVP),
522,Cesarean Section,
NONBILL015,Change Bedding,
NONBILL016,Change CRI,
NONBILL136,Change Endotracheal Tube,
NONBILL052,Change Feeding Instructions,
NONBILL017,Change IV Catheter,
NONBILL018,Change IV Fluids,
NONBILL130,Change IVF Additives,
NONBILL137,Change Oxygen %,
NONBILL019,Change Patient Lines,
NONBILL185,Check / Apply Figure 8 / Body Wrap,
NONBILL188,Check / Apply Tail Guard,
NONBILL020,Check / Clean Eyes,
NONBILL184,Check / Clean Pin Tracts,
NONBILL138,Check Airway,
NONBILL021,Check All Connections are Closed,
NONBILL167,Check Bandage (+/- Toes),
NONBILL022,Check Central Line Catheter / Maintenance,
NONBILL025,Check Connections / Ports / Tubing,
NONBILL027,Check Endotracheal Tube / Maintenance,
NONBILL193,Check Esophagostomy (E-tube) Placement,
NONBILL189,Check Feet for Lesions,
NONBILL029,Check for Hotspots / Redness / Skin Irritation,
NONBILL031,Check Holter Monitor,
NONBILL032,Check Incision / Wound,
NONBILL033,Check IV Catheter / Maintenance,
NONBILL030,Check Limb,
NONBILL036,Check Nasal Cannula,
NONBILL183,Check Neuro Status,
NONBILL139,Check Oxygen Cage Soda Lime / Drip Tray,
NONBILL041,Check Oxygen Cage Temperature/Humidity,
NONBILL038,Check Pain Patch,
NONBILL039,Check Paws,
NONBILL168,Check Stay Sutures,
NONBILL043,Check Tracheostomy Tube / Maintenance,
NONBILL140,Check Vent Tubing/Filters/Humidifier,
SA665,CHEM25,
CHEMHAZ,Chemotherapy Hazardous Disposal,
VITALS404,Chest Tube - Lavage (mL) (left side),
VITALS404b,Chest Tube - Lavage (mL) (right side),
CHT,Chest Tube Placement Procedure,
CHEWRX,Chewy Online Prescription,
CHOLE,Cholecystectomy,
501A,Ciliary Body - Chemical Ablation per Eye,
CRER,Clean & Restock Exam Rooms,
CAET,Clean All Exam Tables,
CBS,Clean Baby Scales,
NONBILL044,Clean Cage / Run,
NONBILL192,Clean E-tube with Chlorhexidine,
NONBILL141,Clean Ears (no charge),
NONBILL045,Clean Face / Nose / Eye Area,
NONBILL142,Clean Hind End,
CSSM,Clean Scale/Scale Mat,
CSR,Clean Surgery/Restock,
CWT,Clean Wet Table,
CWCB,Clean/Wash Clippers & Blades,
CLINT,Clindoral Treatment,
CFR,Clip Feet / Routine,
CMC,Clip Matts / Complicated,
CMR,Clip Matts / Routine,
NONBILL047,Cold Compress (Ice),
NONBILL211,Collect 1hr Post-sample,
NONBILL212,Collect 2hr Post-sample,
NONBILL213,Collect 4hr Post-sample,
NONBILL214,Collect 8hr Post-sample,
NONBILL209,Collect Fecal Sample,
NONBILL210,Collect Free Catch Urine Sample,
CHCOP,Colorado - Histopath w/ Copper Quan.,
VITALS25,Comfort / Pain Check (Pain Score),
125,Communal Cremation/Burial Svc <125lb,
CCBS>125,Communal Cremation/Burial Svc >125lb,
IF100,Computer paper-db/sheet,
IF101,Computer paper-sgl 2550sh/bx,
IF102,Computer paper-sgl 3500sh/bx,
IF109,Computer printer ribbon,
NONBILL048,Confirm Multilumen Ports are Labeled,
NONBILL177,Confirm patient is clean and IVC/bandages/dressings removed,
ACON,Consil Application,
198,Consultation without Exam,
INJFEE,Controlled  Substance Fee,
CLHSP,Cornell AHDC Liver Histopat/Stain Panel,
IH141,Cotton balls 2bgs/1cs,
LCASS,County tag / shelter,
LCAS,County Tags,
VITALS156,CRI - Bolus,
VITALS158,CRI - Buprenorphine (mg/kg/hr),
VITALS160,CRI - Butorphanol (mg/kg/hr),
VITALS165,CRI - Calcium Gluconate (mg/kg/hr),
VITALS168,CRI - Dexmedetomidine (mcg/kg/hr),
VITALS176,CRI - Dobutamine (mcg/kg/min),
VITALS178,CRI - Dopamine (mcg/kg/min),
VITALS180,CRI - Epinephrine (mcg/kg/min),
VITALS191,CRI - Fentanyl (mg/kg/hr),
VITALS369,CRI - Fentanyl/Lidocaine/Ketamine (mg/kg/hr),
VITALS197,CRI - Furosemide (mg/kg/hr),
VITALS318,CRI - GoLytely / NG (mL/hr),
VITALS372,CRI - Hetastarch 6% (mL/kg/hr),
VITALS370,CRI - Hydromorphone/Lidocaine/Ketamine (mg/kg/hr),
VITALS205,CRI - Insulin (U/kg/hr),
CRI,CRI - IV Fluid Drip (Inj. Included),
VITALS210,CRI - Ketamine (mg/kg/hr),
VITALS213,CRI - Lidocaine (mg/kg/hr),
VITALS234,CRI - Methocarbamol (mg/kg/hr),
VITALS237,CRI - Metoclopramide (mg/kg/hr),
VITALS239,CRI - Midazolam (mg/kg/hr),
VITALS371,CRI - Morphine/Lidocaine/Ketamine (mg/kg/hr),
VITALS118,CRI - NG/NE Tube Feeding (mL/hr),
VITALS249,CRI - Norepinephrine (mcg/kg/min),
VITALS251,CRI - Other,
VITALS298,CRI - Phosphorus (KPhos) mEq/kg/hr,
VITALS259,CRI - Phosphorus (KPhos) mmol/kg/hr,
VITALS260,CRI - Potassium (KCL) (mEq/kg/hr),
VITALS266,CRI - Propofol (mg/kg/min),
VITALS310,CRI - Tube Feeding (mL/hr),
VITALS373,CRI - Vetstarch 6% (mL/kg/hr),
CRYO,Cryoprobe Surgery,
718,Cryptococcus Antigen by Latex Agglutinat,
523,Cryptorchid-Abdominal,
524,Cryptorchid-Inguinal,
CSUCYT,CSU - Cytology,
CSUFLO,CSU - Flow Cytometry w/ CBC,
CSUFCA,CSU - Flow Cytometry/PARR per additional,
CSUPARR,CSU - PARR Assay,
552,Cyst Removal,
USCYSTO,Cystocentesis - Ultrasound Assisted,
137CC,Cystocentesis/catheterization,
CYSTOG,Cystography,
525,Cystotomy,
526,Cystotomy/Urethrotomy,
6500,Cytology Resubmit - Reduced Charge,
D128REFI,D-128 Refill 30-34oz Bottle (Supld by O),
K1,DA2P (#1),
K2,DA2P (#2),
K3,DA2P + Leptospirosis 4 (#1),
KA,DA2P + Leptospirosis 4 Annual,
KAWL,DA2P Annual (w/o Lepto),
NONBILL049,Daily Brushing,
NONBILL051,Daily SOAP,
DS,De-shedding Fee,
527,Declaw - Front,
528A,Declaw 4 Feet/ OP,
527A,Declaw Front / OP,
528,Declaw-Four Feet,
530,Dental Cleaning Grade I,
531,Dental Cleaning Grade II,
531-3,Dental Cleaning Grade III,
DE1,"Dental Ext./ 101,102,103,201,202,203",
DE7,"Dental Ext./ 104,204,304,404",
DE2,"Dental Ext./ 105,205,305,405",
DE3,"Dental Ext./ 106,107,206,207",
DE6,"Dental Ext./ 108,109,208,209,309,409",
DE5,"Dental Ext./ 110,210,310,410,",
DE1A,"Dental Ext./ 301,302,303,401,402,403",
DE4,"Dental Ext./ 306,307,308,406,407,408",
532,Dental Extraction - Decidious Canine,
EXT1,Dental Extraction - Mobile Tooth,
533,Dental Extraction Complicated,
DEN1,Dental Grade 1,
DEN2,Dental Grade 2,
DEN3,Dental Grade 3,
DENREC,Dental Recheck,
DSK,Dental Sample Kit,
DERMI,Dermatonin Implant,
6129,Dermatopathology w/ Dermatology Consult,
592,Dewclaw And Tails Puppy (each),
529,Dewclaw Removal Adult (each),
DEWLI,Deworm - Litter of 4 or more,
DEWS,Deworm 1-25 lb,
DEWXXL,Deworm 120-140 lb.,
DEWM,Deworm 25-60 lb.,
DEWL,Deworm 61-90 lb,
DEWXL,Deworm 91-120 lb.,
NONBILL-IDIR50,Diroban 50mg/vial INJ (25mg/mL),
DBS,Discard Blood Samples,
NONBILL006,Discontinue CRI,
NONBILL002,Discontinue IV fluids,
NONBILL129,Discontinue IVF Additives,
NONBILL053,Discontinue NPO,
NONBILL009,Discontinue Oxygen Administration,
NONBILL054,Discontinue Telemetry,
T565,"Distemper, Parvo & Vaccine Titer",
NONBILL055,Do Not Express or Palpate Bladder,
NONBILL056,Do Not Walk Patient,
NONBILL057,Doctor to Confirm Tx Sheet & Doses,
NONBILL058,Doctor to Evaluate,
NONBILL050,Doctor to Perform Daily PE,
VITALS29,Drain #1 - Empty / Note Production,
VITALS29b,Drain #2 - Empty / Note Production,
DRR,Drain Removal,
534,Drain-Penrose,
535,Drain-Thoracic,
IDEM,Dry Erase Magnet/Asst. Colors,
537,Ear - Hematoma Repair,
EOPA,Ear - Oti Pack Admin.,
ECLARO,Ear - Simplera Application,
133,Ear -Therapeutic Cleansing,
BEF,Ear Flush,
BEFC,Ear Flush - Courtesy,
132,Ear Hematoma - Draining & Taping,
HEMCAN,Ear Hematoma with Cannula Placement,
EPR,Ear Polyp Removal,
540,Ears-Trim (crop),
EKGH,ECG - In House (Record Vital),
EKGP,ECG Pre - op  Vet Heart Institute,
EKGS,ECG Vet Heart Institute Stat,
ECHO,Echocardiogram (Thoracic Ultrasound),
ULT2,Echocardiogram with Abdominal Ultrasound,
VITALS117,Electrocardiogram (ECG) (single),
URW018M,Elegant Photo Urn Small - Mahogany,
ECC125+,Emp Communal Cremation,
PEEC,Emp Exotic Cremation w/ Bamboo Box,
EFCC,Emp Feline Communal Cremation,
EFPCCB,Emp Feline Cremation in Bamboo Box,
EFPCMB,Emp Feline Cremation in Memory Box,
ECCC,Emp K9 Communal Cremation,
ECPCCB,Emp K9 Cremation in Bamboo Box,
ECPCMB,Emp K9 Cremation in Memory Box,
EMP-METF500,EMPLOYEE -  Metformin 500mg - Bottle,
EMP-BANDIPHE,EMPLOYEE - Banofen Diphenhydramine 50mg CAP,
EMP-COSASUJH,EMPLOYEE - Cosamin ASU Joint Health 230ct. CAP,
EMP-WATFRO24,EMPLOYEE - Watermelon Frost 24's TAB,
EMPTRASH,Empty Trash ( TX/Lab/Pharmacy/Exam Rooms),
VITALS15,Empty Urine (UCS) & Note Urine Output,
VITALS401,Empty Urine (UCS) & Note Urine Output (ml/kg/hr),
VITALS121,Empty/Monitor Fecal Catheter Production,
VITALS38,End Tidal CO2 (EtCO2),
134,Enema Administration,
NONBILL120,Ensure Cleanliness of Patient/Bathe PRN,
562,Enterotomy $12/min,
IF108,Envelopes computer-window,
EPP,Episioplasty,
625,Euthanasia Services,
625H,Euthanasia Services at Home,
625S,Euthanasia Services Small Mammal,
199,Exam - Acupuncture,
135B,Exam - Behavioral Consultation,
EF,Exam - Emergency Care,
EE,Exam - Exotic,
139,Exam - House Call,
142H,Exam - In Hospital,
137A,Exam - Litter (ea),
MPEEXOTI,Exam - Medical Progress Exotic,
BOVVEC,Exam - Medical Progress From VEC,
DRVSCON,Exam - Specialist Consultation,
UC,Exam - Urgent Care,
542,Exploratory-Abdominal,
543,Exploratory-Thoracic,
122,Express Anal Glands,
NONBILL060,Express Bladder,
145,Eye - Cleansing/Medicating,
546,Eye - Conjuctival Flap,
