XLS ID,XLS Product,XLS Supplier,Stockroom ID,Stockroom Product,Supplier To Use
S18537,Antech Calcium & Ionized Calcium,IAL,S18537,Antech Calcium & Ionized Calcium,IAL
T110,Antech Calcium Level,IAL,T110,Antech Calcium Level,IAL
1846,"Antech Calcium, Ionized,  PTH",IAL,1846,"Antech Calcium, Ionized,  PTH",IAL
ACDEA1.1,Antech Canine Blood Typing DEA 1.1 Only,IAL,ACDEA1.1,Antech Canine Blood Typing DEA 1.1 Only,IAL
CPBNP,Antech Canine Cardio BNP,IAL,CPBNP,Antech Canine Cardio BNP,IAL
85424,Antech Canine Junior with Accuplex,IAL,85424,Antech Canine Junior with Accuplex,IAL
T978,Antech Canine Lepto PCR Blood/Urine,"IDEXX, IAL, HSI",T978,Antech Canine Lepto PCR Blood/Urine,"IDEXX, IAL, HSI"
T995,Antech Canine PCR Respiratory Panel,"IDEXX, IAL, HSI",T995,Antech Canine PCR Respiratory Panel,"IDEXX, IAL, HSI"
T960,Antech Canine PCR Tick Borne Panel,"IDEXX, IAL, HSI",T960,Antech Canine PCR Tick Borne Panel,"IDEXX, IAL, HSI"
T475,Antech Canine Progesterone Levels,IAL,T475,Antech Canine Progesterone Levels,IAL
T830C,Antech Canine Urine Microalbumin Reflex,"IDEXX, IAL, HSI",T830C,Antech Canine Urine Microalbumin Reflex,"IDEXX, IAL, HSI"
T330,Antech CBC,IAL,T330,Antech CBC,IAL
REVW,Antech CBC w/ Path Review,IAL,REVW,Antech CBC w/ Path Review,IAL
SA090,"Antech CBC, CHEM25, T4, freeT4",IAL,SA090,"Antech CBC, CHEM25, T4, freeT4",IAL
9523,"Antech CBC, CHEM25, T4, UA",IAL,9523,"Antech CBC, CHEM25, T4, UA",IAL
T127,Antech Cholesterol/Triglycerides only,IAL,T127,Antech Cholesterol/Triglycerides only,IAL
S16195,Antech Cobalamin B-12 & Folate Levels,IAL,S16195,Antech Cobalamin B-12 & Folate Levels,IAL
T840,Antech Cobalamin B12,IAL,T840,Antech Cobalamin B12,IAL
ACVIGMGG,Antech Corona Virus IgG and IgM,IAL,ACVIGMGG,Antech Corona Virus IgG and IgM,IAL
AST,Antech Cortisol Pre&Post ( ACTH Stim ),IAL,AST,Antech Cortisol Pre&Post ( ACTH Stim ),IAL
224,"Antech Cortisol, Resting ( 1 sample )",IAL,224,"Antech Cortisol, Resting ( 1 sample )",IAL
T790,Antech Cryptosporidium & Giardia Fecal,IAL,T790,Antech Cryptosporidium & Giardia Fecal,IAL
CYT,Antech Cytology,"IDEXX, IAL, HSI",CYT,Antech Cytology,"IDEXX, IAL, HSI"
DERM,Antech Dermatopathology,IAL,DERM,Antech Dermatopathology,IAL
ADERMC,Antech Dermatopathology Consult,IAL,ADERMC,Antech Dermatopathology Consult,IAL
T450,Antech Dexamethasone Suppression Test,IAL,T450,Antech Dexamethasone Suppression Test,IAL
ECASPO,Antech Extended C & S (Per Organism),IAL,ECASPO,Antech Extended C & S (Per Organism),IAL
T965,Antech Fastpanel PCR Fel Flea/Tick,IAL,T965,Antech Fastpanel PCR Fel Flea/Tick,IAL
T805,Antech Fecal (Ova / Parasites ),IAL,T805,Antech Fecal (Ova / Parasites ),IAL
T808,Antech Fecal & Giardia ELISA,IAL,T808,Antech Fecal & Giardia ELISA,IAL
SA622,"Antech Feline CBC, CHEM11, FELV, FIV","BI, PATL, IAL",SA622,"Antech Feline CBC, CHEM11, FELV, FIV","BI, PATL, IAL"
9979,Antech Feline Comp Well Screen,IAL,9979,Antech Feline Comp Well Screen,IAL
T630,Antech Feline Heartworm Antig. + Antib.,IAL,T630,Antech Feline Heartworm Antig. + Antib.,IAL
T985,Antech Feline Hemoplasma PCR Panel,"IDEXX, IAL, HSI",T985,Antech Feline Hemoplasma PCR Panel,"IDEXX, IAL, HSI"
T620,Antech Feline HW Antigen,IAL,T620,Antech Feline HW Antigen,IAL
S86965,Antech Feline Intestinal Lymphoma Panel,"IDEXX, IAL, HSI",S86965,Antech Feline Intestinal Lymphoma Panel,"IDEXX, IAL, HSI"
T993,Antech Feline Resp PCR w/ SARS-COV-2,IAL,T993,Antech Feline Resp PCR w/ SARS-COV-2,IAL
AFPCRP,Antech Feline Respiratory PCR Panel,"IDEXX, IAL, HSI",AFPCRP,Antech Feline Respiratory PCR Panel,"IDEXX, IAL, HSI"
T830F,Antech Feline Urine Microalbumin Reflex,"IDEXX, IAL, HSI",T830F,Antech Feline Urine Microalbumin Reflex,"IDEXX, IAL, HSI"
IL24,"Antech FIV Ab, FeLV Ag (ELISA)","BI, PATL, IAL",IL24,"Antech FIV Ab, FeLV Ag (ELISA)","BI, PATL, IAL"
S86493,Antech Flow Cytometry Test,IAL,S86493,Antech Flow Cytometry Test,IAL
CYTOFLUA,Antech Fluid Analysis with Cytology,"IDEXX, IAL, HSI",CYTOFLUA,Antech Fluid Analysis with Cytology,"IDEXX, IAL, HSI"
S17029,Antech Food/Enviromental Allergy Screen,IAL,S17029,Antech Food/Enviromental Allergy Screen,IAL
T460,Antech Free T4 (Equilibrium Dialysis),IAL,T460,Antech Free T4 (Equilibrium Dialysis),IAL
